CH4,C2H6
2.083,9.784
2.082,9.554
2.084,9.509
2.079,9.655
2.081,9.47
2.083,9.284
2.086,9.602
2.082,9.688
2.084,9.454
2.085,9.735
2.087,9.608
2.085,9.477
2.084,9.681
2.09,9.679
2.101,10.07
2.109,10.717
2.112,10.646
2.111,10.531
2.106,10.742
2.14,11.583
2.215,14.497
2.243,15.336
2.243,15.623
2.214,14.249
2.17,12.449
2.14,11.659
2.116,10.769
2.102,10.296
2.094,10.233
2.093,9.985
2.102,10.381
2.109,10.729
2.116,10.657
2.127,11.183
2.138,11.568
2.164,12.757
2.191,13.576
2.247,15.743
2.252,15.517
2.372,20.158
2.372,20.158
2.422,22.027
2.585,28.264
2.595,28.846
2.531,26.226
2.471,24.039
2.422,22.405
2.373,20.12
2.36,19.88
2.406,21.74
2.424,22.767
2.449,23.167
2.474,24.286
2.485,24.709
2.537,26.353
2.645,30.617
2.685,31.963
2.664,31.222
2.547,27.03
2.443,23.147
2.319,18.552
2.248,15.65
2.21,14.584
2.17,12.724
2.142,11.855
2.125,11.207
2.109,10.652
2.103,10.131
2.107,10.457
2.112,10.916
2.103,10.472
2.099,10.296
2.099,10.448
2.091,10.174
2.087,9.742
2.086,9.586
2.084,9.325
2.084,9.631
2.084,9.465
2.085,9.556
2.092,9.821
2.092,10.046
2.101,10.073
2.105,10.373
2.112,10.436
2.116,11.1
2.136,11.601
2.137,11.682
2.159,12.386
2.153,12.269
2.143,11.604
2.137,11.749
2.136,11.56
2.137,11.744
2.135,11.642
2.125,10.919
2.137,11.655
2.153,12.082
2.173,13.051
2.22,14.546
2.225,14.76
2.194,13.426
2.184,13.533
2.168,12.727
2.245,15.64
2.254,15.922
2.324,18.556
2.324,18.556
2.491,24.968
2.572,27.946
2.501,25.003
2.401,21.462
2.404,21.398
2.419,22.206
2.448,23.252
2.471,23.895
2.512,25.957
2.556,27.346
2.594,28.751
2.606,29.281
2.592,28.4
2.548,27.003
2.596,28.554
2.522,26.028
2.429,22.87
2.379,20.295
2.421,22.156
2.547,26.745
2.639,30.372
2.613,29.423
2.608,28.846
2.72,33.293
2.775,35.531
2.857,38.655
2.798,36.433
2.743,34.251
2.728,33.836
2.729,33.79
2.717,33.323
2.724,33.556
2.682,32.107
2.658,31.064
2.637,30.101
2.622,29.635
2.629,29.987
2.62,29.47
2.592,28.893
2.56,27.602
2.531,26.306
2.518,25.893
2.474,24.057
2.457,23.59
2.467,24.106
2.453,23.48
2.424,22.473
2.402,21.822
2.298,18.003
2.241,15.429
2.238,15.137
2.258,16.345
2.289,17.249
2.29,17.532
2.25,15.674
2.219,14.703
2.197,14.045
2.188,13.402
2.185,13.346
2.185,13.451
2.185,13.236
2.195,13.874
